Name,Species,Class,Hlt,Atk,Int,Def,Spd,Total,R. Depth,Source,Trait Name,Item Name,Trait Description
Melon,Dumpling,Nature,42,17,17,17,17,110,1,Gather fruit in Torun's realm with Dumpling in party,Glucose,Melon Drink,Your Dumplings have a 10% chance to start battles at the top of the Timeline for each Dumpling fighting on your side. This trait does not stack.
Nugget,Dumpling,Nature,40,18,17,18,18,111,1,Defeating Treasure Golems,Greed is Good,Golden Dough Ball,Your Dumplings deal 7% more damage for each turn all your Dumplings have taken a turn in the current battle. This trait does not stack.
Omelette,Dumpling,Nature,42,17,17,17,17,110,1,Complete 100 realm quests at highest depth with Dumpling in party,High Protein,Scrambled Egg,Your Dumplings have a 10% chance to resist debuffs for each Dumpling fighting on your side. This trait does not stack.
Pudding,Dumpling,Nature,40,15,18,18,18,109,1,"After obtaining Dumpling, fuse any two members of the dumpling race",Proof Is In the Pudding,Pudding Gift,Your Dumplings can equip 1 more Spell Gem for each Dumpling fighting on your side. This trait does not stack.
King Dumpling,Dumpling,Nature,45,20,20,20,20,125,1,Rare Nether Realm encounter while using a full team of Dumplings,Rich Get Richer,Royal Dough Ball,"After one of your Dumplings are killed, this creature gains 50% of their highest stat."
Dumpling,Dumpling,Nature,43,17,17,17,17,111,1,Rare Encounter,Secret Ingredient,Raw Dough Ball,"At the start of battle, your Dumplings gain Current and Maximum Health equal to 15% of all your Dumplings' Maximum Health. This trait does not stack."
Cursed Effigy,Effigy,Death,35,15,25,20,15,110,64,Damarel,The Grudge,Cursed Button,This creature always has Cursed. The damage your creatures take from Cursed is based on their lowest stat rather than Attack.
Dancing Effigy,Effigy,Death,30,20,20,15,25,110,64,Damarel,Jungle Boogie,Dancing Button,"This creature has 50% more Speed for each of Cursed, Burning, Poisoned and Bleeding it has."
Falconer Effigy,Effigy,Death,32,25,20,15,18,110,64,Damarel,Outstanding,Falconer Button,"After this creature takes indirect damage, it gains 20% Attack."
Healing Effigy,Effigy,Death,38,15,22,20,15,110,64,Damarel,Suture Technique,Healing Button,"After your creatures take indirect damage, they are healed for 20% of their Maximum Health. This trait does not stack."
Knight Effigy,Effigy,Death,35,20,15,28,12,110,64,Damarel,Pins and Needles,Effigy Button,"After this creature takes indirect damage, it gains 20% Defense."
Noble Effigy,Effigy,Death,35,15,25,20,15,110,64,Damarel,Malediction,Noble Button,"This creature's spells are 25% more potent for each of Cursed, Burning, Poisoned, and Bleeding it has."
Wildfire Efreet,Efreet,Sorcery,36,16,21,16,21,110,22,"Great Pandemonium, Astral Gallery",Ashes to Ashes,Wildfire Ashes,"After this creature Attacks, it afflicts the target with Burning. If the target already has Burning, it afflicts all enemies with Burning."
Flametongue Efreet,Efreet,Sorcery,34,16,21,16,21,108,90,"Great Pandemonium, Astral Gallery",In Flames,Flametongue Ashes,Your creatures recover health from Burning instead of taking damage. Your creatures start each battle with Burning.
Ashbone Efreet,Efreet,Sorcery,37,17,20,15,20,109,75,"Great Pandemonium, Astral Gallery",Infinite Inferno,Ashbone Ashes,Enemies' Burning debuff lasts forever. This effect also applies to your own creatures while you have a creature with the In Flames trait.
Frostfire Efreet,Efreet,Sorcery,36,16,21,16,21,110,30,"Great Pandemonium, Astral Gallery",Living Flame,Frostfire Ashes,"After an enemy takes damage from Burning, this creature deals 30% of that damage to all other enemies. This trait does not stack."
Volcanic Efreet,Efreet,Sorcery,34,14,19,17,22,106,22,"Great Pandemonium, Astral Gallery",Smolder,Volcanic Ashes,"After this creature Attacks a creature with Burning, the target takes damage equal to 4 turns of this debuff."
Obsidian Efreet,Efreet,Sorcery,35,15,20,15,20,105,45,"Great Pandemonium, Astral Gallery",Snuff,Obsidian Ashes,"When an enemy's Burning debuff expires or is removed, deal damage to it equal to 5 turns of this debuff. This trait does not stack."
Dreadful Efreet,Efreet,Sorcery,36,16,21,16,21,110,60,"Great Pandemonium, Astral Gallery",Stoke,Dreadful Ashes,"After this creature Defends or Provokes, it increases the potency of each enemy's Burning debuff by 65%."
Eft Elder,Eft,Nature,31,21,16,16,21,105,1,Apocranox God Shop (Favor Rank 11),Dismemberment,Elder Skull,"After this creature Attacks, it decreases the target's Intelligence by 10% for each Eft fighting on your side. This trait does not stack."
Eft Scavenger,Eft,Nature,28,21,16,16,21,102,1,Apocranox God Shop (Favor Rank 18),Hamstring,Scavenger Skull,"After this creature Attacks, it decreases the target's Speed by 10% for each Eft fighting on your side. This trait does not stack."
Eft Stalker,Eft,Nature,29,22,17,17,22,107,1,Apocranox God Shop (Favor Rank 5),Maim,Stalker Skull,"After this creature Attacks, it decreases the target's Attack by 10% for each Eft fighting on your side. This trait does not stack."
Bloody Eft,Eft,Nature,33,23,16,16,21,109,1,Apocranox God Shop (Favor Rank 14),Pride of the Pack,Bloody Skull,"Your Efts always have one of the following buffs for each Eft fighting on your side: Savage, Splashing, Protected, Berserk, Agile, Warded. Buffs are prioritized in that order."
Eft Climber,Eft,Nature,28,21,16,16,21,102,1,Apocranox God Shop (Favor Rank 8),Render Flesh,Climber Skull,"After this creature Attacks, it decreases the target's Defense by 10% for each Eft fighting on your side. This trait does not stack."
Eft Howler,Eft,Nature,29,22,17,17,22,107,1,Apocranox God Shop (Favor Rank 1),Throat Ripper,Howler Skull,"After one of your Efts attack, all of your Efts recover Health equal to 5% of the damage dealt for each Eft fighting on your side. This trait does not stack."
Brambled Egg,Eggxotic,Nature,35,15,15,28,17,110,,Unsullied Meadows,Egg-log,Thorny Eggshell,"This creature always has Defensive. After your Eggxotic creatures take damage, they deal damage to the enemy equal to 10% of their Defense. This trait does not stack."
Egg Over Breezy,Eggxotic,Nature,30,15,20,15,30,110,,Unsullied Meadows,Egg Cloustard,Breezy Eggshell,This creature always has Agile. Your other Eggxotic creatures have an independent 20% chance to dodge. This trait does not stack.
Egg-Drop Sleuth,Eggxotic,Sorcery,32,15,25,15,23,110,,Unsullied Meadows,Soup-ffleyed,Mysterious Eggshell,"This creature always has Proficient. After an enemy Attacks your Eggxotic creatures, they are afflicted with Confused."
Eggs Benedictator,Eggxotic,Chaos,32,25,20,15,18,110,,Unsullied Meadows,Egg Flourish-tine,Commander Eggshell,This creature always has Leeching. Your Eggxotic creature always have Berserk.
Romulette,Eggxotic,Chaos,35,25,15,25,10,110,,Unsullied Meadows,Testu-Oyakodon,Armored Eggshell,"This creature always has Savage. After an enemy Attacks your Eggxotic creatures, the targeted creature gains Shelled."
Scorched Egg,Eggxotic,Sorcery,35,15,20,25,15,110,,Unsullied Meadows,Lava-Broiled,Heated Eggshell,This creature always has Repelling. Your other Eggxotic creatures always have Warded.
Electropod Ant,Electropod,Nature,28,16,16,21,26,107,64,"Forgotten Lab, Gambler's Hive",Thread Pool,Capacitor,Your Electropod creatures have 10% more Speed for each Electropod fighting on your side. This trait does not stack.
Electropod Beetle,Electropod,Nature,30,15,15,20,25,105,64,"Forgotten Lab, Gambler's Hive",High Performance,Inductor,Your Electropod creatures have 7% more Speed for each empty Spell Gem slot they have. Maximum of 8 Spell Gem slots per creature. This trait does not stack.
Electropod Fly,Electropod,Nature,32,15,15,20,25,107,64,"Forgotten Lab, Gambler's Hive",Infinite Scaling,Transformer,"At the start of battle, your Electropod creatures share 15% of their Speed with each other. This trait does not stack."
Electropod Mantis,Electropod,Nature,30,15,15,20,25,105,64,"Forgotten Lab, Gambler's Hive",Networking,Resistor,Your creatures' Electropod traits act as if your party contains 3 more Electropod creatures. This trait does not stack.
Electropod Scorpion,Electropod,Nature,33,18,18,17,22,108,75,"Forgotten Lab, Gambler's Hive",Spin Cycle,Transistor,"At the start of this creature's turn, it deals damage to a random enemy equal to 75% of its Speed."
Electropod Spider,Electropod,Nature,30,15,15,20,25,105,64,"Forgotten Lab, Gambler's Hive",Malware,Diode,"At the start of each enemy's turn, this creature has a 20% chance to deal damage to them equal to 40% of its Speed. This trait does not stack."
Ancloudysaur,Elementasaur,Nature,32,20,20,15,25,112,,Cutthroat Jungle,Cloudy Constitution,Cloud Fragment,This creature always has Vulnerable. Your creatures with Vulnerable gain 50% more stats from all sources. This trait does not stack.
Brockiosaurus,Elementasaur,Nature,40,15,15,28,12,110,,Cutthroat Jungle,Orthoclase,Orthoclase Feldspar,This creature always has Stone. Your creatures with Stone have 50% more Defense. Enemies cannot be resistant to Stone. This trait does not stack.
Darknonychus,Elementasaur,Nature,32,25,20,15,18,110,,Cutthroat Jungle,Sleepwalking,Moon Shard,This creature always has Sleeping. Your creatures with Sleeping Attack or Cast their top-most spell at the start of their turns. Your creatures with Sleeping have a 50% chance to afflict the target with Sleeping with attacks and spells. This trait does not stack.
Holyguanadon,Elementasaur,Nature,35,20,25,20,10,110,,Cutthroat Jungle,Ignorance is Bliss,Holy Symbol,"This creature always has Mania and Mending. After your creatures take damage from Mania, a random enemy takes that damage as well. After your creatures are healed by Mending, a random enemy is healed for that amount as well. This trait does not stack."
Thunder-Rex,Elementasaur,Nature,38,25,20,20,17,120,,Cutthroat Jungle,Negative Charge,Resonate Fang,This creature always has Silenced. Your creatures' Lightning Storm acts as if they have 50% more Intelligence for each creature on your team afflicted with Silenced. This trait does not stack.
Triflaratops,Elementasaur,Nature,35,25,15,20,15,110,,Cutthroat Jungle,Molten Spray,Molten Keratin,"This creature always has Scorned. After your creatures with Scorned Attack, they deal damage to each enemy equal to 50% of the damage dealt. This trait does not stack."
Veliceoraptor,Elementasaur,Nature,30,20,25,15,25,115,,Cutthroat Jungle,Frost Affinity,Unmelting Ice,This creature always has Frozen. Your creatures with Frozen can still act and can Cast spells that interact with Frozen without consuming Charges. This trait does not stack.
Vinosaurus,Elementasaur,Nature,35,25,15,25,10,110,,Cutthroat Jungle,Barbed Vines,Poisoned Barb,This creature always has Snared. Your creatures with Snared intercept attacks and single-target spells on allies and take damage based on their Attack instead of Defense. This trait does not stack.
Windactyl,Elementasaur,Nature,30,15,25,15,28,113,,Cutthroat Jungle,Sandstorm,Bottled Wind,"This creature always has Blind. When your creatures with Blind Cast a spell that targets more than one creature, it instead targets all creatures and has 100% more potency. This trait does not stack."
Jingle Elf,Elf,Nature,33,18,18,18,18,105,415,Nature Guild,Annoying Bobblehead,Jingle Gift,Creatures cannot gain buffs until after their first turn.
Elf Brawler,Elf,Nature,27,24,9,19,24,103,415,Nature Guild,Brawl,Brawler Poem,"After this creature Attacks, it has a 20% chance to Attack a random enemy. This effect can occur repeatedly."
Elf Monk,Elf,Nature,33,18,18,18,18,105,34,Regalis God Shop (Favor Rank 5),Forgiveness And Other Blunders,Monk Poem,Effects that activate when creatures Provoke are ignored.
Elf Barbarian,Elf,Nature,30,18,18,18,18,102,34,Regalis God Shop (Favor Rank 11),Hate and Other Triumphs,Barbarian Poem,Effects that activate when creatures die are ignored. This trait does not work in boss battles.
Elf Rogue,Elf,Nature,31,18,18,18,18,103,34,Regalis God Shop (Favor Rank 18),Justice and Other Fallacies,Rogue Poem,Effects that activate when creatures are resurrected are ignored.
Elf Drifter,Elf,Nature,33,18,18,17,18,104,34,Regalis God Shop (Favor Rank 25),Life and Other Illusions,Drifter Poem,Effects that activate when creatures Attack are ignored.
Elf Huntsman,Elf,Nature,30,18,18,18,18,102,34,Regalis God Shop (Favor Rank 14),Love and Other Disasters,Huntsman Poem,Effects that activate when creatures are afflicted with a buff or debuff are ignored.
Elf Cleric,Elf,Nature,30,18,18,18,18,102,34,Regalis God Shop (Favor Rank 1),Madness And Other Ideals,Cleric Poem,Effects that activate when creatures Defend are ignored.
Elf Mystic,Elf,Nature,33,18,18,18,18,105,34,Regalis God Shop (Favor Rank 8),Peace and Other Myths,Mystic Poem,Effects that activate when creatures dodge attacks are ignored.
Efflorescent Ent,Ent,Nature,32,18,23,23,13,109,45,"The Swamplands, Blood Grove",Black Lotus,Efflorescent Branch,Your creatures take 40% less damage while they have Mending. This trait does not stack.
Aspen Ent,Ent,Nature,43,18,18,18,13,110,415,Nature Guild,Cycle of Life,Aspen Branch,"After this creature is resurrected, it gains 100% Maximum Health."
Evergreen Ent,Ent,Nature,37,17,22,22,12,110,415,Nature Guild,Infested With Ants,Evergreen Gift,"At the start of this creature's turn, it deals damage to random enemies equal to 30% of its lowest stat. This effect happens 3 times."
Ebony Ent,Ent,Nature,34,17,22,22,12,107,1,"The Swamplands, Blood Grove",Nature's Blessing,Ebony Branch,Your creatures always have Mending and take 15% less damage. This trait does not stack.
Hemlock Ent,Ent,Nature,38,18,23,18,13,110,15,"The Swamplands, Blood Grove",Nutrient Blood,Hemlock Branch,"Your creatures recover 15% Health at the start of their turn. If they have Mending, they recover 50% Health instead. This trait does not stack."
Ashwood Ent,Ent,Nature,35,17,22,22,12,108,60,"The Swamplands, Blood Grove",Optimism,Ashwood Branch,"After this creature is Attacked, it gains 25% Defense and Speed."
Timeworn Ent,Ent,Nature,37,17,22,22,12,110,75,"The Swamplands, Blood Grove",Sacred Bark,Timeworn Branch,"After your creatures are Attacked, 50% of the damage received is added to this creature's Barrier."
Ancient Ent,Ent,Nature,37,17,22,22,12,110,90,"The Swamplands, Blood Grove",Stampede,Ancient Branch,"After this creature Attacks, Defends, or Provokes, it Casts Wrath of Nature."
Elder Ent,Ent,Nature,36,16,21,21,11,105,30,"The Swamplands, Blood Grove",Unscathed,Elder Branch,"After your creatures are Attacked, their Mending buffs heal them immediately. This trait does not stack."
Abacus,Exotic,Chaos,31,18,18,18,18,103,20,Otherworld Portal,Numerical Nightmare,Bloody Beads,"This creature has 75% more Attack and Speed while its level is odd, and 75% more Intelligence and Defense while its level is even."
Abandoned Homunculus,Exotic,Sorcery,38,13,23,16,16,106,20,Otherworld Portal,Lab Assistant,Alchemical Catalyst,Your creatures' Spell Gems that have the same name as this creature's Spell Gems deal 50% more damage. This trait does not stack.
Acrova,Exotic,Chaos,24,19,19,13,24,99,20,Otherworld Portal,Piercing Speed,Sharp Shell,This creature's attacks and spells ignore 30% of its enemies' Defense.
Ameteris Krin,Exotic,Sorcery,41,21,16,16,16,110,20,Otherworld Portal,Cantripology,Ametrine Shard,"After this creature Attacks, it Casts its top-most, Unsealed Spell Gem. Then, that Spell Gem is Sealed."
Arcian Warbeast,Exotic,Chaos,37,20,15,15,20,107,20,Otherworld Portal,Hungering Void,Voidborne Crystal Scraps,"At the start of this creature's turn, it Seals one of each creature's Spell Gems."
Avaricious Draco,Exotic,Sorcery,41,16,16,16,21,110,20,Otherworld Portal,Draconic Arrogance,Pure Dragon Blood,This creature has additional stats (other than Health) equal to 5% of your other creatures' highest stats.
Avion,Exotic,Nature,43,17,17,17,17,111,20,Otherworld Portal,Counter Slash,Avion Claw,"After this creature is Attacked, it deals damage to the enemy equal to 65% of this creature's Attack."
Bad Apple,Exotic,Death,35,20,20,20,15,110,20,Otherworld Portal,Squirmies,Apple Core,"This creature starts battle with Writhelings. Each time this creatures takes damage from an attack or spell, it gains another stack of Writhelings."
Band Warchief,Exotic,Chaos,38,21,16,16,21,112,20,Otherworld Portal,Bloodripper,Blood Banner,"After this creature Attacks, it afflicts the target with Bleeding. If the target already has Bleeding, it deals 120% more damage."
Bane of Piety,Exotic,Death,35,20,25,20,20,120,20,Otherworld Portal,Weapons of Mass Distortion,Bloodsoaked Cross,"At the start of battle, this creature's Artifact's Spell Slot gem is replaced with an Ultimate Spell Gem of this creature's equipped Relic's corresponding avatar."
Bashloack,Exotic,Death,38,18,18,18,18,110,20,Otherworld Portal,Eery Veil,Ghostly Ear,"At the start of battle, this creature and creatures adjacent to it gain Invisible."
Bejem,Exotic,Sorcery,36,11,22,17,22,108,20,Otherworld Portal,Natural Beauty,Jewel Shell,"At the start of battle, your creatures gain Crystal Shield. In addition, your creatures' Barrier buffs are 40% stronger. This trait does not stack."
Besieged Beast,Exotic,Life,35,18,15,28,14,110,20,Otherworld Portal,Lord of the Castle,Ominous Stone Crest,"When your creatures gain Defense, the amount is increased by 50%. This trait does not stack."
Bilemaw,Exotic,Nature,30,25,15,18,20,108,20,Otherworld Portal,Indigestion,Massive Jawbone,This creature ignores 10% of enemies' Defense for each dead creature.
Bomballoon,Exotic,Chaos,25,25,25,15,20,110,20,Otherworld Portal,Pop!,Bouquet of Balloons,"After this creature takes damage from an attack or spell, each enemy has a 50% chance to be afflicted with Bomb. If they already have Bomb, they take damage equal to 1% to 160% of their Bomb's potency."
Bumblebig,Exotic,Nature,37,27,12,7,27,110,20,Otherworld Portal,Sting Martyr,Sacrificial Stinger,"This creature's attacks deal 125% more damage. After this creature Attacks, it loses 10% Maximum Health."
Byakko,Exotic,Sorcery,35,20,15,15,25,110,20,Otherworld Portal,Tiger's Spirit,Constellation of Byakko,Your Exotic creatures' attacks deal additional damage with attacks and spells equal to 25% of their Speed. This trait does not stack.
Celestial Scarapin,Exotic,Life,35,20,20,25,20,120,20,Otherworld Portal,Atmospheric Interference,Chitinous Feather,"After this creature damages an enemy, it gains 50% of that damage as a Barrier."
Chatter,Exotic,Sorcery,30,25,15,15,25,110,20,Otherworld Portal,Multibite,Flawless Tooth,"When this creature Attacks, it has a 25% chance to Attack repeatedly."
Chosen of the Fae,Exotic,Nature,30,18,18,18,18,102,20,Otherworld Portal,Graced by Whimsy,Spriggan's Eye,This creature has a 50% chance to gain double stats from stat-boosting effects.
Chronoshatter Wyrm,Exotic,Chaos,35,20,25,20,10,110,20,Otherworld Portal,Time Fracture Resonance,Temporal Glass,"While this creature is at the bottom of the Timeline, your creatures do not consume Charges when they Cast spells. In addition, their spells always deal critical damage and have 100% more potency."
Clawtail Wyrm,Exotic,Chaos,33,28,18,13,13,105,20,Otherworld Portal,Clawtail Symbiosis,Clawtail Parasite,"After this creature Attacks, it takes another turn. This trait only allows the creature to take an additional turn once at a time."
Clingslime,Exotic,Sorcery,32,20,20,20,18,110,20,Otherworld Portal,Ultra Cling,Priceless Shell,"After this creature damages an enemy with an attack or spell, it has a 50% chance to afflict the target with Snared."
Colacanth,Exotic,Nature,28,16,21,21,21,107,20,Otherworld Portal,Sugar Rush,Can o' Canth,"When this creature Casts a spell, the spell has 20% more potency for each buff it has. At the end of this creature's turn, its buffs are removed."
Conductive Carcharin,Exotic,Sorcery,31,11,26,16,21,105,20,Otherworld Portal,Conductivity,Lightning Fin,Your creatures' Splashing buffs deal 100% more damage. This trait does not stack.
Cootie,Exotic,Death,32,20,20,15,23,110,20,Otherworld Portal,Lovesick,Desperate Love,"After this creature Attacks or is Attacked, it afflicts the target with up to 3 of its debuffs."
Copycat,Exotic,Sorcery,30,20,25,20,25,120,20,Otherworld Portal,Mimicry,Spellbinding Aura,"After an enemy Attacks, this creature has a 10% chance to Attack the enemy. After an enemy Casts, this creature has a 10% chance to cast that spell in your favor."
Cranium Cluster,Exotic,Death,43,17,17,27,7,111,20,Otherworld Portal,Marrow Metabolism,Skull Shard,"After this creature takes damage, its minions gain 1 stack."
Critical Mass,Exotic,Death,35,25,20,20,20,120,20,Otherworld Portal,Mass Effect,Fused Atoms,"Your creatures act as if they have taken damage, Attacked, and Cast spells 1 additional time for each time their on-critical effects have triggered in the current battle. This trait does not stack."
Davey,Exotic,Death,38,18,18,18,18,110,20,Otherworld Portal,Black Fog,Black Raindrop,"After this creature afflicts an enemy with a debuff, it deals damage to the enemy equal to 15% of its lowest stat for each debuff the enemy has."
Defiant Defiler,Exotic,Sorcery,40,18,18,18,18,112,20,Otherworld Portal,Redemption,Certificate of Absolution,"After this creature is killed, it heals your other creatures for an amount equal to 100% of its Maximum Health."
Demon King,Exotic,Chaos,39,17,17,17,17,107,20,Otherworld Portal,Sacrificial Will,Book of Infinity,"After this creature is killed, your other creatures gain a random buff and a random minion."
Dire Werewolf,Exotic,Death,38,18,18,18,18,110,20,Otherworld Portal,Backup Packup,Werewolf Whistle,"After this creature Attacks, one of your creatures gains 3 stacks of Dire Wolves."
Doedoodle,Exotic,Nature,35,15,15,28,17,110,20,Otherworld Portal,Counter Sweep,Stone Wool,"After this creature is Attacked, it deals damage to enemies equal to 5% of its Defense for each time it has been Attacked in the current battle."
Dollface,Exotic,Chaos,30,25,20,15,20,110,20,Otherworld Portal,Bloodbath,Mannequin Blade,"After this creature Attacks, the target is afflicted with Bleeding and this creature has a 25% chance to cast Hemorrhage on each enemy that already has Bleeding."
Dozen of Rot,Exotic,Death,35,15,25,20,15,110,20,Otherworld Portal,Rotten Revenge,Bad Egg,"After this creature takes damage from an attack or spell, it Casts Putrescent Odor."
Dr. Concocto,Exotic,Chaos,32,15,25,18,20,110,20,Otherworld Portal,Potion Time!,Mystery Vial,"At the end of your other creatures' turns, this creature has a 10% chance to Cast Concoction. After this creature Attacks, it has a 25% chance to Cast Concoction."
Draconic Strix,Exotic,Sorcery,35,15,25,15,20,110,20,Otherworld Portal,Ancient Wisdom,Ancient Feather,"When a creature would gain or lose stats, 10% of this creature's Intelligence is added to this amount for each turn it has taken this battle. This creature starts battles with its turn counter at 3. This trait does not stack."
Duckgundr,Exotic,Chaos,35,18,18,18,18,107,20,Otherworld Portal,Stick Soul,Roll of Tape,"This creature's buffs, debuffs, and minions persist through death."
Dust Fairy,Exotic,Nature,25,20,20,15,30,110,20,Otherworld Portal,Dusty Struggle,Faceful of Dust,"After this creature Attacks, Casts, Defends or Provokes, it and its adjacent allies are afflicted with a random debuff and have a 20% chance to be sent to the top of the Timeline. This trait will not activate if another creature in your party has it as well."
Eye of the Gorgon,Exotic,Death,35,15,25,25,10,110,20,Otherworld Portal,Petrified Hope,Gorgon's Eye,"At the start of this creature's turn, each enemy has a 50% chance to be afflicted with Stone and Feared."
Forgotten Disciple,Exotic,Death,38,18,18,18,18,110,20,Otherworld Portal,Burden of Guilt,Unlit Candle,"After this creature Defends, all creatures lose 1 buff and 1 debuff."
Frosty Freezy,Exotic,Nature,32,15,25,20,18,110,20,Otherworld Portal,Chill Out!,Frozen Dessert,"After an enemy Casts a spell, this creature afflicts it with Frozen."
Furious Frank,Exotic,Chaos,35,25,15,20,15,110,20,Otherworld Portal,Barbecue Time,Mystery Meat,"After this creature deals damage with an attack or spell, the enemy has a 50% chance to be afflicted with Burning."
Fury Stormer,Exotic,Nature,32,15,28,15,20,110,20,Otherworld Portal,Gathering Storm,Crackling Talon,"After this creature is forcibly moved on the Timeline, it Casts Snowstorm, Firestorm or Sandstorm if they're equipped. In addition, your creatures have 50% more Intelligence. This trait does not stack."
Gemstone Trader,Exotic,Sorcery,30,15,28,20,17,110,20,Otherworld Portal,Lunatic Generosity,Bismuth Crystal,"At the start of battle, all creatures gain a copy of this creature's first 3 Spell Gems. These Spell Gems have 1 Charge."
Genbu,Exotic,Sorcery,38,18,18,18,18,110,20,Otherworld Portal,Connections,Constellation of Genbu,Your creatures have 10% more stats (other than Health) for each Exotic creature fighting on your side. This trait does not stack.
Genetic Anomaly,Exotic,Chaos,35,22,22,22,19,120,20,Otherworld Portal,Mass Mutation,Gene Splicer,"At the start of battle, this creature shares its Fused trait with one creature of each other class on your team. If this trait is the creature's Fused trait, it shares its innate trait instead. This trait does not stack."
Gravebound Eidolon,Exotic,Death,35,22,22,22,19,120,20,Otherworld Portal,Beyond the Veil,Strings of Shadow,"This creature can be affected by stat changes while dead and does not lose stats on death. This creature's traits remain active while dead, except for traits that would redirect attacks or take damage in place of allies."
Gravekeeper,Exotic,Death,41,16,16,18,18,109,20,Otherworld Portal,Corpse Keeper,Grave Shovel,"At the start of your creatures' turns, they gain 1 stack of Zombies. This trait does not stack."
Gravewood Ghost,Exotic,Death,30,25,15,18,18,106,20,Otherworld Portal,Inoculant,Old World Microbe,"After this creature Casts a spell, it increases the potency of enemies' Burning, Poisoned and Bomb debuffs by 10%."
Greybeard,Exotic,Sorcery,39,17,17,17,17,107,20,Otherworld Portal,Greybeard's Blessing,Black Ear,Your creatures grant 100% more healing to enemies with Blighted. This trait does not stack.
Grovewalker,Exotic,Death,42,17,17,17,17,110,20,Otherworld Portal,Forest's Curse,Rotting Antler,"After an enemy Attacks, the target afflicts the enemy with 2 random debuffs. This trait does not stack."
Grubette,Exotic,Nature,27,17,18,18,23,103,20,Otherworld Portal,Grubby Strength,Pocket Grubs,"After this creature is killed, it deals damage to enemies equal to 3% of its lowest stat, multiplied by the number of times it Attacked in the current battle."
Haunting Glass,Exotic,Sorcery,35,20,25,20,20,120,20,Otherworld Portal,Karmic Reflection,Mirror's Edge,"After this creature takes damage from an attack or spell, it deals damage to enemeis equal to 25% of its missing Health."
Heartminder,Exotic,Life,38,18,18,18,18,110,20,Otherworld Portal,Hearts and Minds,Living Blood,"At the start of this creature's turn, it gives away 20% of its stats (other than Health) to your other creatures."
Helios,Exotic,Life,30,20,15,18,20,103,20,Otherworld Portal,Propulsion,Angelic Halo,"After this creature is forcibly moved to the top of the Timeline, it gains Splashing and 75% Attack."
Hermitey,Exotic,Nature,39,14,24,14,19,110,20,Otherworld Portal,Pocket Tank,Decorated Shell,"While this creature has at least 3 buffs, it intercepts enemies' attacks on its allies and takes 50% less damage. This trait does not stack."
Hot Lips,Exotic,Chaos,30,25,20,15,20,110,20,Otherworld Portal,Red Hot Kiss,Red Hot Lipstick,"At the start of this creature's turn, each enemy has a 50% chance to be afflicted with Burning and Confused."
Huanglong,Exotic,Sorcery,38,18,18,17,18,109,20,Otherworld Portal,Golden Aura,Constellation of Huanglong,"After your Exotic creatures are killed, your other Exotic creatures gain a random trait. This trait does not stack."
Hydra,Exotic,Chaos,42,16,16,16,21,111,20,Otherworld Portal,Reactive Heads,Hydra's Scale,"After your creatures are damaged by an attack or spell, they have a 15% chance to be sent to the top of the Timeline."
I Scream Man,Exotic,Sorcery,32,15,25,20,18,110,20,Otherworld Portal,Freezer Blast,I Scream Cone,"At the start of this creature's turn, it Casts Deep Freeze."
Infinite Eggling,Exotic,Chaos,30,10,25,18,20,103,20,Otherworld Portal,Chaotic Potential,Anarchic Egg Shell,"After this creature gains stats, it has a 5% chance to Cast a random Morph spell."
Iridris,Exotic,Sorcery,40,18,18,18,18,112,20,Otherworld Portal,Red In Tooth And Claw,Crimson Powder,"After this creature is Attacked, it has a 50% chance to be sent to the top of the Timeline."
Iron Maiden,Exotic,Death,40,15,15,28,12,110,20,Otherworld Portal,Agonizing Entrapment,Bloody Spike,"After this creature takes damage, the enemy is afflicted with Snared and Bleeding. Enemies with Snared take 50% more damage from Bleeding. This trait does not stack."
Jack Frost,Exotic,Sorcery,32,20,25,15,18,110,20,Otherworld Portal,Winter's Edge,Frozen Christmas Lights,"After this creature deals damage with an attack or spell, the enemy has a 50% chance to be afflicted with Frozen."
Jack o' Lantern,Exotic,Sorcery,32,18,25,15,20,110,20,Otherworld Portal,Trick or Treat!,Spooky Lantern,"After this creature takes damage from an attack or spell, it Casts Fireball on the enemy. After this creature Attacks, it has a 35% chance to Cast Grand Fireball."
Jackal Swarm,Exotic,Chaos,32,24,15,15,24,110,20,Otherworld Portal,Total Discord,Fang Necklace,"When this creature Casts a spell, the targets of the spell are reversed. This trait does not apply to enemies."
Jaculus,Exotic,Nature,32,22,15,15,20,104,20,Otherworld Portal,Breakneck,Piercing Legs,This creature ignores enemies' Barrier and Shelled buffs.
Junkyard,Exotic,Chaos,35,25,15,20,15,110,20,Otherworld Portal,Road Rage,Old Tire,"After this creature Attacks, it has a 25% chance to Attack random enemies repeatedly."
Kavnak,Exotic,Chaos,31,11,26,15,20,103,20,Otherworld Portal,Shared Consciousness,Kavnak's Worm,"After an ally manually Casts a spell, this creature has a 50% chance to Cast that spell as well."
Kegstruct,Exotic,Sorcery,35,20,25,20,10,110,20,Otherworld Portal,Weaponized Spirit,Robokeg,Booze Spells also count as Arsenal Spells and vice-versa.
King Croak,Exotic,Death,38,15,25,20,12,110,20,Otherworld Portal,Croak of the King,Crown of Death,"After an ally is killed, this creature Casts Cry of the Mandrake."
