Stat Bonus,Relic,,Rank,Relic Description
Defense,"Starwrath, Great Spear of Yseros",,10,"After the bearer Defends, this relic afflicts a random enemy with Confused."
Defense,"Starwrath, Great Spear of Yseros",,20,"While the bearer is Defending, it cannot lose stats."
Defense,"Starwrath, Great Spear of Yseros",,30,"When an enemy with Confused would gain stats, it has a 50% chance to lose stats instead."
Defense,"Starwrath, Great Spear of Yseros",,40,"At the end of the bearer's turn, this relic Attacks a random enemy with Confused."
Defense,"Starwrath, Great Spear of Yseros",,50,Enemies' Confused debuffs have an independent 20% chance to activate.
Defense,"Starwrath, Great Spear of Yseros",,60,"While the bearer is Defending, enemies' Confused debuffs have a 50% greater chance to activate."
Defense,"Starwrath, Great Spear of Yseros",,70,"When an enemy with Confused would be healed, it has a 50% chance to take damage instead."
Defense,"Starwrath, Great Spear of Yseros",,80,"After this relic Attacks an enemy with Confused, the enemy Attacks itself."
Defense,"Starwrath, Great Spear of Yseros",,90,"While the bearer is Defending, it has a 10% chance to avoid damage."
Defense,"Starwrath, Great Spear of Yseros",,100,Enemies have a 10% chance to Attack and Cast spells as if they have Confused even if they don't have this debuff.
Speed,"Temptation, Bladed Whip of Regalis",,10,"After the bearer Attacks an enemy, the enemy Attacks itself. The amount of damage dealt is based on the bearer's Attack."
Speed,"Temptation, Bladed Whip of Regalis",,20,"After an enemy Attacks itself, this relic Attacks it as well."
Speed,"Temptation, Bladed Whip of Regalis",,30,"After an enemy Casts a healing spell, it Casts it on the bearer as well."
Speed,"Temptation, Bladed Whip of Regalis",,40,"After this relic or its bearer Attacks an enemy, it removes the enemy's Defending status."
Speed,"Temptation, Bladed Whip of Regalis",,50,"After this relic Attacks, it has a 50% chance to Attack an additional enemy. This effect can occur repeatedly."
Speed,"Temptation, Bladed Whip of Regalis",,60,This relic and its bearer deal 30% more damage with attacks.
Speed,"Temptation, Bladed Whip of Regalis",,70,"After this relic or its bearer Attacks an enemy, they remove the enemy's Provoking status."
Speed,"Temptation, Bladed Whip of Regalis",,80,"After an enemy Casts a spell that grants a buff, it Casts it on the bearer as well."
Speed,"Temptation, Bladed Whip of Regalis",,90,"After this relic Attacks, it increases the bearer's Speed by 5%."
Speed,"Temptation, Bladed Whip of Regalis",,100,"After an enemy Casts a stat-boosting spell, it Casts it on the bearer as well."
Speed,"Thousand Needles, Honed Bow of Apocranox",,10,"After the bearer Attacks or Casts a single-target spell on an enemy, this relic Attacks the enemy."
Speed,"Thousand Needles, Honed Bow of Apocranox",,20,This relic and its bearer Attack and Cast spells 1 additional time.
Speed,"Thousand Needles, Honed Bow of Apocranox",,30,"After the bearer Casts a spell, this relic Casts a copy of that spell as well."
Speed,"Thousand Needles, Honed Bow of Apocranox",,40,This relic and its bearer deal 1% more damage for each time they have Attacked or Cast a spell in the current battle.
Speed,"Thousand Needles, Honed Bow of Apocranox",,50,This relic and its bearer have a 20% additional chance to deal critical damage for each consecutive time they Attacked or Cast a spell during the current turn.
Speed,"Thousand Needles, Honed Bow of Apocranox",,60,This relic and its bearer can Attack and Cast spells a maximum of 20 times per turn.
Speed,"Thousand Needles, Honed Bow of Apocranox",,70,This relic and is bearer Attack 1 additional time for each turn the bearer has taken in the current battle.
Speed,"Thousand Needles, Honed Bow of Apocranox",,80,This relic and its bearer deal 15% additional damage for each consecutive time the bearer has Attacked or Cast a spell during the current turn.
Speed,"Thousand Needles, Honed Bow of Apocranox",,90,This relic and its bearer Cast spells 1 additional time for each turn the bearer has taken in the current battle.
Speed,"Thousand Needles, Honed Bow of Apocranox",,100,"When the bearer Casts a spell multiple times in one turn, each cast after the first one has a 50% chance to not cost any Charges."
Intelligence,"Triumvir, Arcane Sceptre of Zonte",,10,"At the start of battle, this relic gives its bearer Arcane."
Intelligence,"Triumvir, Arcane Sceptre of Zonte",,20,"After the bearer Casts a spell, this relic Attacks a random enemy."
Intelligence,"Triumvir, Arcane Sceptre of Zonte",,30,"While the bearer has Arcane, its spells deal 100% more damage."
Intelligence,"Triumvir, Arcane Sceptre of Zonte",,40,"After the bearer gains Arcane, this relic Casts Snowstorm."
Intelligence,"Triumvir, Arcane Sceptre of Zonte",,50,"After the bearer manually Casts a spell while it has Arcane, it has a 30% chance for that Spell Gem to gain a Charge."
Intelligence,"Triumvir, Arcane Sceptre of Zonte",,60,"While the bearer has Arcane, its spells heal for 100% more."
Intelligence,"Triumvir, Arcane Sceptre of Zonte",,70,"After the bearer gains Arcane, this relic Casts Firestorm."
Intelligence,"Triumvir, Arcane Sceptre of Zonte",,80,"After the bearer manually Casts a spell, this relic has a 50% chance to give it Arcane."
Intelligence,"Triumvir, Arcane Sceptre of Zonte",,90,"While the bearer has Arcane, its spells that affect stats are 100% more potent."
Intelligence,"Triumvir, Arcane Sceptre of Zonte",,100,"After the bearer gains Arcane, this relic Casts Lightning Storm."
Attack,"Vitreous, Crystal Eye of Anneltha",,10,"After the bearer Attacks, this relic Attacks the enemy as well."
Attack,"Vitreous, Crystal Eye of Anneltha",,20,The bearer deals 5% more damage with attacks for each time it has Attacked in the current battle.
Attack,"Vitreous, Crystal Eye of Anneltha",,30,This relic and its bearer gain 10% more stats from all sources for each time this relic has Attacked in the current battle.
Attack,"Vitreous, Crystal Eye of Anneltha",,40,This relic and its bearer have 3% more Attack for each time it and this relic have Attacked in the current battle.
Attack,"Vitreous, Crystal Eye of Anneltha",,50,The bearer deals 5% more damage with attacks for each time this relic has Attacked in the current battle.
Attack,"Vitreous, Crystal Eye of Anneltha",,60,"If the bearer has Attacked at least 5 times in the current battle, it and this relic always deal critical damage with attacks."
Attack,"Vitreous, Crystal Eye of Anneltha",,70,"If the bearer has Attacked at least 5 times in the current battle, its Spell Gems do not consume any Charges."
Attack,"Vitreous, Crystal Eye of Anneltha",,80,The bearer takes 3% less damage (up to 90%) for each time it and this relic have Attacked in the current battle.
Attack,"Vitreous, Crystal Eye of Anneltha",,90,"If the bearer has Attacked at least 10 times in the current battle, the potency of its spells is based on its Attack rather than its Intelligence."
Attack,"Vitreous, Crystal Eye of Anneltha",,100,"At the start of the bearer's turn, this relic Casts Fury Swipes on the bearer."
Health,"Void Essence, Dark Heart of Caliban",,10,"After the bearer Attacks or is Attacked, it afflicts the enemy with Stone."
Health,"Void Essence, Dark Heart of Caliban",,20,"After the bearer Attacks, this relic Attacks the enemy as well."
Health,"Void Essence, Dark Heart of Caliban",,30,"After the bearer takes damage while it is Defending or Provoking, this relic Casts Petrify on the enemy."
Health,"Void Essence, Dark Heart of Caliban",,40,"After an enemy is afflicted with Stone, the bearer gains 15% Maximum Health."
Health,"Void Essence, Dark Heart of Caliban",,50,This relic and its bearer deal 100% more damage to enemies with Stone.
Health,"Void Essence, Dark Heart of Caliban",,60,"After the bearer Defends or Provokes, this relic Attacks a random enemy."
Health,"Void Essence, Dark Heart of Caliban",,70,The bearer takes 50% less damage from enemies with Stone.
Health,"Void Essence, Dark Heart of Caliban",,80,Enemies' resistance to Stone is ignored.
Health,"Void Essence, Dark Heart of Caliban",,90,"After this relic Attacks an enemy with Stone, it has a 10% chance to kill it."
Health,"Void Essence, Dark Heart of Caliban",,100,"After the bearer is killed, this relic afflicts enemies with Stone."
Intelligence,"Whisper, Shadow Staff of Tenebris",,10,"At the start of battle, this relic gives the bearer Invisible."
Intelligence,"Whisper, Shadow Staff of Tenebris",,20,"After the bearer Attacks or Casts a single-target spell on an enemy, this relic Attacks the enemy."
Intelligence,"Whisper, Shadow Staff of Tenebris",,30,"After this relic Attacks, the bearer has a 50% chance to gain Invisible."
Intelligence,"Whisper, Shadow Staff of Tenebris",,40,"After the bearer gains Invisible, it gains 25% Intelligence."
Intelligence,"Whisper, Shadow Staff of Tenebris",,50,"After the bearer manually Casts a spell, it has a 50% chance to gain Invisible."
Intelligence,"Whisper, Shadow Staff of Tenebris",,60,"After the bearer is damaged by an attack or spell, it has a 50% chance to gain Invisible."
Intelligence,"Whisper, Shadow Staff of Tenebris",,70,The damage of the baerer's attacks is based on its Intelligence.
Intelligence,"Whisper, Shadow Staff of Tenebris",,80,This relic has additional Attack equal to its bearer's Intelligence.
Intelligence,"Whisper, Shadow Staff of Tenebris",,90,"When the bearer takes damage, 50% of its Intelligence is added to its Defense to determine the amount of damage it receives."
Intelligence,"Whisper, Shadow Staff of Tenebris",,100,"At the end of the bearer's turn, this relic Casts Black Ice."
Attack,"Wintermaul, Great Hammer of Azural",,10,"After the bearer Attacks or is Attacked, it has a 50% chance to afflict the enemy with Frozen."
Attack,"Wintermaul, Great Hammer of Azural",,20,Enemies deal 10% less damage to the bearer for each Frozen enemy.
Attack,"Wintermaul, Great Hammer of Azural",,30,"At the start of its bearer's turn, this relic Attacks a random enemy."
Attack,"Wintermaul, Great Hammer of Azural",,40,This relic and its bearer deal 35% more damage to Frozen enemies.
Attack,"Wintermaul, Great Hammer of Azural",,50,"After the bearer takes damage, this relic has a 25% chance to Cast Black Ice."
Attack,"Wintermaul, Great Hammer of Azural",,60,"After the bearer afflicts an enemy with Frozen, this relic has a 25% chance to Cast Shatter on it."
Attack,"Wintermaul, Great Hammer of Azural",,70,The bearer is immune to Frozen.
Attack,"Wintermaul, Great Hammer of Azural",,80,"After the bearer takes damage, this relic increases its Defense by 20%."
Attack,"Wintermaul, Great Hammer of Azural",,90,The bearer Attacks Frozen enemies 1 additional time.
Attack,"Wintermaul, Great Hammer of Azural",,100,"At the end of its bearer's turn, this relic Casts Snowstorm."
